value,share
27.152151695518768,0.45861999999999997
265.8856890579279,4.4907
293.0378407534467,4.94941
34.29564738620443,0.57012
437.2808321912269,7.26973
471.57647957743137,7.83987
65.93438823106777,0.76496
404.6517107199957,4.6936
470.5860989510635,5.4584600000000005
79.17624657163674,0.54926
1523.7305951479766,10.57132
1602.9068417196133,11.12086
133.70782210336813,0.94085
1542.5317891425527,10.85372
1676.2396112459207,11.79476
158.30823009775654,0.8622
1725.711085232027,9.39901
1884.0193153297835,10.26126
239.66306476832176,2.28309
1863.6334966896738,17.75259
2103.2965614579953,20.03558
255.2001444035488,2.20343
1966.9772315201635,16.98377
2222.1773759237126,19.18739
294.6778653220665,3.12659
1576.608733377418,16.72873
1871.2865986994846,19.85517
311.5073987673297,1.30823
2021.907075576472,8.49102
2333.414474343802,9.79945
466.75059951546956,2.11999
2507.4402715776605,11.38843
2974.1908710931298,13.50878
371.69580005322996,1.65058
1875.7345741664456,8.33006
2247.4303742196757,9.98077
