year,indicator,donor_code,donor_name,share_of,currency,prices,value,share
2012,gni,12,United Kingdom,,GBP,constant,1876386.5343423416,
2012,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,34.12529998578908,0.32365
2012,idrc_ge_linked,12,United Kingdom,,GBP,constant,34.12529998578908,
2012,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,7892.200190181875,74.85152
2012,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,6577.158212719234,62.37935
2012,total_oda_flow_net,12,United Kingdom,,GBP,constant,10543.806877993546,
2012,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,10504.702441710897,99.62912
2012,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,3966.64866527431,37.62065
2012,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,324.12962869064427,3.07412
2012,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,8002.904197147595,100.0
2013,gni,12,United Kingdom,,GBP,constant,1908189.5741734505,
2013,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,38.02642459851895,0.2828
2013,idrc_ge_linked,12,United Kingdom,,GBP,constant,38.02642459851895,
2013,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,10036.890907238165,74.64343
2013,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,7934.009591391422,59.0045
2013,total_oda_flow_net,12,United Kingdom,,GBP,constant,13446.449213469363,
2013,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,13402.614241227384,99.674
2013,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5512.439622077942,40.9955
2013,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,355.9842158745008,2.64742
2013,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,10117.142602568405,100.0
2014,gni,12,United Kingdom,,GBP,constant,1933691.8224502562,
2014,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,156.09466241822355,1.15204
2014,idrc_ge_linked,12,United Kingdom,,GBP,constant,156.09466241822355,
2014,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,9403.024008131122,69.39805
2014,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,7899.345111907372,58.3003
2014,total_oda_flow_net,12,United Kingdom,,GBP,constant,13549.406371851785,
2014,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,13268.960702904553,97.9302
2014,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5650.061259944414,41.6997
2014,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,710.2686966623015,5.24207
2014,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,9530.416427458234,100.0
2015,gni,12,United Kingdom,,GBP,constant,1985079.3480104257,
2015,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,294.45399744321423,2.10474
2015,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,294.45399744321423,2.09439
2015,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,10265.584993158991,73.37794
2015,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,10601.508859727717,75.40628
2015,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,10601.508859727717,75.40628
2015,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,8836.123411917164,63.16022
2015,total_oda_flow_net,12,United Kingdom,,GBP,constant,13990.014716034562,
2015,total_oda_ge,12,United Kingdom,,GBP,constant,14059.18490012498,
2015,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,13874.552614345648,99.17468
2015,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5153.891304117401,36.83978
2015,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,214.47809289040288,1.53308
2015,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,10549.35019443717,100.0
2016,gni,12,United Kingdom,,GBP,constant,2160135.0701289796,
2016,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,480.88301241282926,3.17973
2016,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,480.88301241282926,3.29993
2016,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,12176.379665614271,80.51351
2016,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,12207.876183230781,83.77315
2016,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,12207.876183230781,83.77315
2016,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,9648.237447972748,63.79675
2016,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,9641.192126065544,66.16
2016,total_oda_flow_net,12,United Kingdom,,GBP,constant,15123.39920646364,
2016,total_oda_ge,12,United Kingdom,,GBP,constant,14572.540481933253,
2016,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,14340.957986329533,94.82629
2016,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5475.186890435866,36.20341
2016,total_oda_multilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,4931.348355867708,33.84
2016,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,909.4329380785731,6.01342
2016,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,12669.347888309021,100.0
2017,gni,12,United Kingdom,,GBP,constant,2233836.9510144554,
2017,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,424.137106171355,2.71829
2017,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,424.137106171355,3.05766
2017,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,12996.488698368092,83.29444
2017,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,11962.127623801729,86.23653
