year,indicator,donor_code,donor_name,share_of,currency,prices,value,share
2017,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,11962.127623801729,86.23653
2017,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,9766.424555898548,62.59298
2017,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,9751.238303657576,70.29794
2017,total_oda_flow_net,12,United Kingdom,,GBP,constant,15603.067866080608,
2017,total_oda_ge,12,United Kingdom,,GBP,constant,13871.300444148093,
2017,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,13961.31413006023,89.47801
2017,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5836.6433101820585,37.40702
2017,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,1750.8601888044693,11.22126
2017,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,13455.543688092814,100.0
2018,gni,12,United Kingdom,,GBP,constant,2276438.290064737,
2018,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,402.44727725243564,2.53533
2018,idrc_ge,12,United Kingdom,total_oda_ge,GBP,constant,402.44727725243564,2.54212
2018,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,402.44727725243564,2.54212
2018,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,12538.500214322183,78.98967
2018,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,12503.868993673042,78.98263
2018,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,12580.504387029336,79.46671
2018,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,10034.199763422093,63.21315
2018,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,10047.217476000022,63.46481
2018,total_oda_flow_net,12,United Kingdom,,GBP,constant,15873.59467814343,
2018,total_oda_ge,12,United Kingdom,,GBP,constant,15831.162648242083,
2018,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,15920.1891114396,100.29353
2018,total_oda_grants_ge,12,United Kingdom,total_oda_ge,GBP,constant,9219.870427888956,58.23874
2018,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5839.394914721336,36.78685
2018,total_oda_multilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,5783.945172242062,36.53519
2018,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,111.70748091166267,0.70373
2018,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,12920.722578636149,100.0
2019,gni,12,United Kingdom,,GBP,constant,2302717.0107439924,
2019,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,509.44805754295066,3.14935
2019,idrc_ge,12,United Kingdom,total_oda_ge,GBP,constant,509.44805754295066,3.18063
2019,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,509.44805754295066,3.18063
2019,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,13006.63381538402,80.40564
2019,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,12876.411053281932,80.391
2019,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,12961.16218791965,80.92012
2019,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,11084.113977605197,68.52083
2019,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,10924.471923429393,68.2045
2019,total_oda_flow_net,12,United Kingdom,,GBP,constant,16176.26987171571,
2019,total_oda_ge,12,United Kingdom,,GBP,constant,16017.229893277201,
2019,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,16334.105698679636,100.97572
2019,total_oda_grants_ge,12,United Kingdom,total_oda_ge,GBP,constant,9794.124899640172,61.14743
2019,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5092.155894110515,31.47917
2019,total_oda_multilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,5092.7579698478075,31.7955
2019,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,64.43882821637112,0.39835
2019,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,13393.868746366647,100.0
2020,gni,12,United Kingdom,,GBP,constant,2090529.8160076109,
2020,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,632.8547483578211,4.18211
2020,idrc_ge,12,United Kingdom,total_oda_ge,GBP,constant,632.8547483578211,4.33645
2020,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,632.8547483578211,4.33645
2020,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,11180.052824872677,73.88146
2020,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,10756.788593187865,73.70769
2020,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,10909.482493474849,74.75398
2020,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,9596.638641798741,63.41774
2020,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,9608.765999929841,65.8412
2020,total_oda_flow_net,12,United Kingdom,,GBP,constant,15132.420016983262,
2020,total_oda_ge,12,United Kingdom,,GBP,constant,14593.848993927233,
2020,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,14357.896033166551,94.88169
2020,total_oda_grants_ge,12,United Kingdom,total_oda_ge,GBP,constant,8655.373308175635,59.30837
2020,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,5535.78137518452,36.58226
2020,total_oda_multilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,4985.082993997393,34.1588
2020,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,936.4631198719078,6.18846
2020,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,11470.177139373893,100.0
2021,gni,12,United Kingdom,,GBP,constant,2266767.99948,
2021,idrc_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,1052.2379899999999,8.89169
2021,idrc_ge,12,United Kingdom,total_oda_ge,GBP,constant,1052.2379899999999,9.21187
2021,idrc_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,1052.2379899999999,9.21187
2021,one_core_oda_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,7770.946031129999,65.66657
2021,one_core_oda_ge,12,United Kingdom,total_oda_ge,GBP,constant,7472.1263051099995,65.41511
2021,one_core_oda_ge_linked,12,United Kingdom,total_oda_ge,GBP,constant,7699.296874603139,67.40388
2021,total_oda_bilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,7145.3049599999995,60.37973
2021,total_oda_bilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,7145.71208,62.5575
2021,total_oda_flow_net,12,United Kingdom,,GBP,constant,11833.94606,
2021,total_oda_ge,12,United Kingdom,,GBP,constant,11422.63127,
2021,total_oda_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,11090.646719999999,93.71892
2021,total_oda_grants_ge,12,United Kingdom,total_oda_ge,GBP,constant,6476.515849999999,56.69898
2021,total_oda_multilateral_flow_net,12,United Kingdom,total_oda_flow_net,GBP,constant,4688.6411,39.62027
2021,total_oda_multilateral_ge,12,United Kingdom,total_oda_ge,GBP,constant,4276.91919,37.4425
2021,total_oda_non_grants_flow,12,United Kingdom,total_oda_flow_net,GBP,constant,897.5469299999999,7.58451
2021,total_oda_official_definition,12,United Kingdom,total_oda_official_definition,GBP,constant,8304.25293329,100.0
