channel_code,en_acronym,fr_acronym,channel_name
41200,,,UN entities (core contributions reportable in TOSSD only)
41201,CTBTO,CTBTO,Comprehensive Nuclear Test Ban Treaty Organization
41202,ICAO,ICAO,International Civil Aviation Organization
41203,ICC,ICC,International Criminal Court
41204,IRMCT,IRMCT,International Residual Mechanism for Criminal Tribunals
41205,ISA,ISA,International Seabed Authority
41206,ITLOS,ITLOS,International Tribunal for the Law of the Sea
41207,OPCW,OPCW,Organization for the Prohibition of Chemical Weapons
41208,DESA,DESA,Department of Economic and Social Affairs
41209,DGACM,DGACM,Department of General Assembly and Conference Management
41210,DGC,DGC,Department of Global Communications
41211,DMSPC,DMSPC,"Department of Management Strategy, Policy and Compliance, including UNOG, UNOV and UNON"
41212,DOS,DOS,Department of Operational Support
41213,DSS,DSS,Department of Safety and Security
41214,OCT,OCT,Office of Counter-Terrorism
41215,UNICRI,UNICRI,United Nations Interregional Crime and Justice Research Institute
41216,IMO,IMO,International Maritime Organization
41217,WTO,WTO,World Trade Organisation
41300,,,Other UN (Core Contributions Reportable in Part)
41301,FAO,FAO,Food and Agricultural Organisation
41302,ILO-Assessed,ILO-Assessed,International Labour Organisation - Assessed Contributions
41303,ITU,ITU,International Telecommunications Union
41304,UNESCO,UNESCO,"United Nations Educational, Scientific and Cultural Organisation"
41305,UN,UN,United Nations
41306,UPU,UPU,Universal Postal Union
41307,WHO-Assessed,WHO-Assessed,World Health Organisation - assessed contributions
41308,WIPO,WIPO,World Intellectual Property Organisation
41309,WMO,WMO,World Meteorological Organisation
41310,UNDPO-UN Peacekeeping operations,UNDPO-UN Peacekeeping operations,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++."
41312,IAEA-Assessed,IAEA-Assessed,International Atomic Energy Agency - assessed contributions
41313,OHCHR,OHCHR,United Nations High Commissioner for Human Rights (extrabudgetary contributions only)
41314,UNECE,UNECE,United Nations Economic Commission for Europe (extrabudgetary contributions only)
41315,UNDRR,UNDRR,United Nations Office for Disaster Risk Reduction
41316,UNFCCC,UNFCCC,United Nations Framework Convention on Climate Change
41317,GCF,GCF,Green Climate Fund
41318,GM,GM,Global Mechanism
41319,UNWTO,UNWTO,World Tourism Organization
41320,UN-TBLDC,UN-TBLDC,Technology Bank for Least Developed Countries
41321,WHO-SPRP,WHO-SPRP,World Health Organisation - Strategic Preparedness and Response Plan
41400,,,UN inter-agency pooled funds
41401,UN-MPTFO,UN-MPTFO,UN-Multi Partner Trust Fund Office
41402,Joint SDG Fund,Joint SDG Fund,Joint Sustainable Development Goals Fund
41403,COVID-19 MPTF,COVID-19 MPTF,COVID-19 Response and Recovery Multi-Partner Trust Fund
41500,,,UN single-agency thematic funds
41501,UN-REDD,UN-REDD,United Nations Reducing Emissions from Deforestation and Forest Degradation
41502,UNOPS,UNOPS,United Nations Office for Project Services
41503,UN-CBPF,UN-CBPF,UN-led Country-based Pooled Funds
41600,,,Existing UN channels not included in Standard I - UN entity- of the UN Data Cube reporting framework
41601,UNODA,UNODA,United Nations Office for Disarmament Affairs
41700,,,"UN entities, non-core contributions"
41701,ILO-non-core,ILO-non-core,International Labour Organisation - non-core
41702,WHO-non-core,WHO-non-core,World Health Organisation - non-core
42000,,,European Union Institutions
42001,EC,EC,European Commission - Development Share of Budget
42003,EDF,EDF,European Commission - European Development Fund
42004,EIB,EIB,European Investment Bank
43000,,,International Monetary Fund (IMF)
43001,IMF-PRGT,IMF-PRGT,International Monetary Fund - Poverty Reduction and Growth Trust
43002,IMF-PRG-HIPC,IMF-PRG-HIPC,"International Monetary Fund - Poverty Reduction and Growth - Heavily Indebted Poor Countries Debt Relief Initiative Trust Fund [includes HIPC, Extended Credit Facility (ECF), and ECF-HIPC sub-accounts]"
43003,IMF-EPCA-ENDA,IMF-EPCA-ENDA,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members
43004,IMF-PRG-MDRI,IMF-PRG-MDRI,International Monetary Fund - Poverty Reduction and Growth - Multilateral Debt Relief Initiative Trust
43005,IMF-PCDR,IMF-PCDR,International Monetary Fund - Post-Catastrophe Debt Relief Trust
43006,IMF-CCR,IMF-CCR,Catastrophe Containment and Relief Trust
43007,IMF-RST,IMF-RST,IMF’s Resilience and Sustainability Trust
44000,,,World Bank Group (WB)
44001,IBRD,IBRD,International Bank for Reconstruction and Development
44002,IDA,IDA,International Development Association
44003,IDA-HIPC,IDA-HIPC,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund
44004,IFC,IFC,International Finance Corporation
44005,MIGA,MIGA,Multilateral Investment Guarantee Agency
44006,AMCs,AMCs,Advance Market Commitments
44007,IDA-MDRI,IDA-MDRI,International Development Association - Multilateral Debt Relief Initiative
44008,PMI,PMI,Partnership for Market Implementation
45001,WTO-ITC,WTO-ITC,World Trade Organisation - International Trade Centre
45002,WTO-ACWL,WTO-ACWL,World Trade Organisation - Advisory Centre on WTO Law
45003,WTO-GTF,WTO-GTF,World Trade Organisation Global Trust Fund
46000,,,Regional Development Banks
46002,Afr.DB,Afr.DB,African Development Bank
46003,Afr.DF,Afr.DF,African Development Fund
46004,AsDB,AsDB,Asian Development Bank
46005,AsDF,AsDF,Asian Development Fund
46006,BSTDB,BSTDB,Black Sea Trade and Development Bank
46007,CABEI,CABEI,Central American Bank for Economic Integration
46008,CAF,CAF,Development Bank of Latin America
46009,CDB,CDB,Caribbean Development Bank
46012,IDB,IDB,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund"
46013,IDB FSO,IDB FSO,"Inter-American Development Bank, Fund for Special Operations"
46015,EBRD,EBRD,European Bank for Reconstruction and Development
46016,EBRD TFs - ODA Countries Only,EBRD TFs - ODA Countries Only,European Bank for Reconstruction and Development - technical co-operation and special funds (ODA-eligible countries only)
46017,EBRD TFs - All Countries,EBRD TFs - All Countries,European Bank for Reconstruction and Development - technical co-operation and special funds (all EBRD countries of operations)
46018,EBRD-ETC,EBRD-ETC,European Bank for Reconstruction and Development - Early Transition Countries Fund
46019,EBRD-WBJTF,EBRD-WBJTF,European Bank for Reconstruction and Development - Western Balkans Joint Trust Fund
46020,BDEAC,BDEAC,Central African States Development Bank
46021,BOAD,BOAD,West African Development Bank
46022,Afreximbank,Afreximbank,African Export Import Bank
46023,TDB,TDB,Eastern and Southern African Trade and Development Bank
46024,CEB,CEB,Council of Europe Development Bank
46025,IsDB,IsDB,Islamic Development Bank
46026,AIIB,AIIB,Asian Infrastructure Investment Bank
46027,FONPLATA,FONPLATA,Financial Fund for the Development of the River Plate Basin
46028,NDB,NDB,New Development Bank
47000,,,Other multilateral institutions
47001,ACBF,ACBF,African Capacity Building Foundation
47002,APO,APO,Asian Productivity Organisation
47003,ASEAN,ASEAN,Association of South East Asian Nations: Economic Co-operation
47005,AU,AU,African Union (excluding peacekeeping facilities)
47008,AVRDC,AVRDC,World Vegetable Centre
47009,CAMES,CAMES,African and Malagasy Council for Higher Education
47010,CAPAM,CAPAM,Commonwealth Agency for Public Administration and Management
47011,CARICOM,CARICOM,Caribbean Community Secretariat
47012,CAREC,CAREC,Caribbean Epidemiology Centre
47013,CF,CF,Commonwealth Foundation
47015,CGIAR,CGIAR,CGIAR Fund
47017,CIAT,CIAT,International Centre for Tropical Agriculture
47018,CIFOR,CIFOR,Centre for International Forestry Research
47019,CIHEAM,CIHEAM,International Centre for Advanced Mediterranean Agronomic Studies
47020,CIMMYT,CIMMYT,International Maize and Wheat Improvement Centre
47021,CIP,CIP,International Potato Centre
47022,CITES,CITES,Convention on International Trade in Endangered Species of Wild Flora and Fauna
47025,COL,COL,Commonwealth of Learning
47026,CPLP,CPLP,Community of Portuguese Speaking Countries
47027,CP ,CP ,Colombo Plan
47028,CPTM,CPTM,Commonwealth Partnership for Technical Management
47029,SWAC,SWAC,Sahel and West Africa Club
47034,ECOWAS,ECOWAS,Economic Community of West African States
47035,ENDA,ENDA,Environmental Development Action in the Third World
47036,EPPO,EPPO,European and Mediterranean Plant Protection Organisation
47037,EROPA,EROPA,Eastern-Regional Organisation of Public Administration
47040,FFA,FFA,Forum Fisheries Agency
47041,FFTC,FFTC,Food and Fertilizer Technology Centre
47042,FIT,FIT,Foundation for International Training
47043,,,Global Crop Diversity Trust
47044,GEF,GEF,Global Environment Facility Trust Fund
47045,Global Fund,Global Fund,"Global Fund to Fight AIDS, Tuberculosis and Malaria"
47046,OIF,OIF,International Organisation of the Francophonie
47047,IAI,IAI,International African Institute
47050,ICAC,ICAC,International Cotton Advisory Committee
47051,ICARDA,ICARDA,International Centre for Agricultural Research in Dry Areas
47053,"ICDDR,B","ICDDR,B","International Centre for Diarrhoeal Disease Research, Bangladesh"
47054,ICIPE,ICIPE,International Centre of Insect Physiology and Ecology
47055,ICRA,ICRA,International Centre for Development Oriented Research in Agriculture
47056,ICRAF,ICRAF,World AgroForestry Centre
47057,ICRISAT,ICRISAT,International Crop Research for Semi-Arid Tropics
47058,IDEA,IDEA,International Institute for Democracy and Electoral Assistance
47059,IDLO,IDLO,International Development Law Organisation
47061,IICA,IICA,Inter-American Institute for Co-operation on Agriculture
47062,IITA,IITA,International Institute of Tropical Agriculture
47063,ILRI,ILRI,International Livestock Research Institute
47064,INBAR,INBAR,International Network for Bamboo and Rattan
47065,IOC,IOC,Intergovernmental Oceanographic Commission
47066,IOM,IOM,International Organisation for Migration
47067,IPCC,IPCC,Intergovernmental Panel on Climate Change
47068,APFIC,APFIC,Asia-Pacific Fishery Commission
47069,,,Bioversity International
47070,IRRI,IRRI,International Rice Research Institute
47071,ISTA,ISTA,International Seed Testing Association
47073,ITTO,ITTO,International Tropical Timber Organisation
47074,IVI,IVI,International Vaccine Institute
47075,IWMI,IWMI,International Water Management Institute
47076,JSCA,JSCA,Justice Studies Centre of the Americas
47077,MRC,MRC,Mekong River Commission
47078,Montreal Protocol,Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol
47079,OAS,OAS,Organisation of American States
47080,OECD,OECD,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only)
47081,OECD-Dev. Centre,OECD-Dev. Centre,OECD Development Centre
47082,OECS,OECS,Organisation of Eastern Caribbean States
47083,PAHO,PAHO,Pan-American Health Organisation
47084,PAIGH,PAIGH,Pan-American Institute of Geography and History
47086,PIDG,PIDG,Private Infrastructure Development Group
47087,PIFS,PIFS,Pacific Islands Forum Secretariat
47089,SADC,SADC,Southern African Development Community
47092,SEAFDC,SEAFDC,South East Asian Fisheries Development Centre
47093,SEAMEO,SEAMEO,South East Asian Ministers of Education
47095,EQAP,EQAP,Educational Quality and Assessment Programme
47096,SPC,SPC,Secretariat of the Pacific Community
47097,SPREP,SPREP,Pacific Regional Environment Programme
47098,UNPO,UNPO,Unrepresented Nations and Peoples’ Organisation
47099,USP,USP,University of the South Pacific
47100,WAMU,WAMU,West African Monetary Union
47101,WARDA,WARDA,Africa Rice Centre
47103,WMU,WMU,World Maritime University
47104,WorldFish Centre,WorldFish Centre,WorldFish Centre
47105,CFC,CFC,Common Fund for Commodities
47106,DCAF,DCAF,Geneva Centre for the Democratic Control of Armed Forces
47107,IFFIm,IFFIm,International Finance Facility for Immunisation
47109,APEC ASF,APEC ASF,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities)
47110,BSEC,BSEC,Organisation of the Black Sea Economic Cooperation
47111,,,Adaptation Fund
47112,CEI-Climate Fund,CEI-Climate Fund,Central European Initiative - Special Fund for Climate and Environmental Protection
47113,CEMAC,CEMAC,Economic and Monetary Community of Central Africa
47114,AFoCO,AFoCO,Asian Forest Cooperation Organisation
47116,IF,IF,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries
47117,NEPAD,NEPAD,New Partnership for Africa's Development
47118,CREFIAF,CREFIAF,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries
47119,OSS,OSS,Sahara and Sahel Observatory
47120,SAARC,SAARC,South Asian Association for Regional Cooperation
47121,UCLGA,UCLGA,United Cities and Local Governments of Africa
47122,GAVI,GAVI,Global Alliance for Vaccines and Immunization
47123,GICHD,GICHD,Geneva International Centre for Humanitarian Demining
47124,IACA,IACA,International Anti-Corruption Academy
47125,ICGEB,ICGEB,International Centre for Genetic Engineering and Biotechnology
47127,OLADE,OLADE,Latin-American Energy Organisation
47128,NDF,NDF,Nordic Development Fund
47129,GEF-LDCF,GEF-LDCF,Global Environment Facility - Least Developed Countries Fund
47130,GEF-SCCF,GEF-SCCF,Global Environment Facility - Special Climate Change Fund
47131,OSCE,OSCE,Organization for Security and Co-operation in Europe
47132,,,Commonwealth Secretariat (ODA-eligible contributions only)
47134,CTF,CTF,Clean Technology Fund
47135,SCF,SCF,Strategic Climate Fund
47136,GGGI,GGGI,Global Green Growth Institute
47137,ARC,ARC,African Risk Capacity Group
47138,CoE,CoE,Council of Europe
47139,WCO CCF,WCO CCF,World Customs Organization Customs Co-operation Fund
47140,OEI,OEI,"Organisation of Ibero-American States for Education, Science and Culture"
47141,ATAF,ATAF,African Tax Administration Forum
47142,OFID,OFID,OPEC Fund for International Development
47143,GCERF,GCERF,Global Community Engagement and Resilience Fund
47144,IRENA,IRENA,International Renewable Energy Agency
47145,CEF,CEF,Center of Excellence in Finance
47146,IIB,IIB,International Investment Bank
47147,IFFEd,IFFEd,International Finance Facility for Education
47148,WOAH,WOAH,World Organisation for Animal Health
47149,ICMP,ICMP,International Commission on Missing Persons
47150,SEGIB,SEGIB,Secretaría General Iberoamericana
47151,BADEA,BADEA,Arab Bank for Economic Development in Africa
47152,AFESD,AFESD,Arab Fund for Economic and Social Development
47153,ACC,ACC,IFAD Core additional climate contributions
47400,,,European Space Agency (ESA) programme 'Space in support of International Development Aid'
47501,GPE,GPE,Global Partnership for Education
47502,GFDRR,GFDRR,Global Fund for Disaster Risk Reduction
47503,GAFSP,GAFSP,Global Agriculture and Food Security Program
47504,FCPF,FCPF,Forest Carbon Partnership Facility
47701,GEF-GBFF,GEF-GBFF,Global Environment Facility - Global biodiversity framework fund
47702,Cali Fund,Cali Fund,Cali Fund For the Fair and Equitable Sharing of Benefits from the use of Digital Sequence Information on Genetic Resources (DSI)
47703,KBF,KBF,Kunming Biodiversity Fund
47704,SESRIC,SESRIC,SESRIC
47705,Interpol,Interpol,Interpol
47706,EFSD,EFSD,Eurasian Fund for Stabilization and Development
47707,,,Arab Monetary Fund
47708,CAN,CAN,Andean Community
47709,CELAC,CELAC,Community of Latin American and Caribbean States
47710,,,Pacific Alliance
47711,MERCOSUR,MERCOSUR,Southern Common Market
47712,ATS,ATS,Antarctic Treaty Secretariat
51000,,,"University, college or other teaching institution, research institute or think-tank"
51001,IFPRI,IFPRI,International Food Policy Research Institute
60000,,,Private Sector Institutions
61000,,,Private sector in provider country
61001,,,Banks (in provider country) (deposit taking corporations)
61003,,,Investment funds and other collective investment institutions (in provider country)
61004,,,"Holding companies, trusts and Special Purpose Vehicles (in provider country)"
61005,,,Insurance Corporations (in provider country)
61006,,,Pension Funds (in provider country)
61007,,,Other financial corporations (in provider country)
61008,,,Exporters (in provider country)
61009,,,Other non-financial corporations (in provider country)
61010,,,Retail investors (in provider country)
62000,,,Private sector in recipient country
62001,,,Banks (in recipient country) (deposit taking corporations except Micro Finance Institutions)
62002,,,Micro Finance Institutions (in recipient country) (deposit and non-deposit)
62003,,,Investment funds and other collective investment institutions (in recipient country)
62004,,,"Holding companies, trusts and Special Purpose Vehicles (in recipient country)"
62005,,,Insurance Corporations (in recipient country)
62006,,,Pension Funds (in recipient country)
62007,,,Other financial corporations (in recipient country)
62008,,,Importers/Exporters
62009,,,Other non-financial corporations (in recipient country)
62010,,,Retail investors (in recipient country)
63000,,,Private sector in third country
63001,,,Banks (in third country) (deposit taking corporations except Micro Finance Institutions)
63002,,,Micro Finance Institutions (in third country) (deposit and non-deposit)
63003,,,Investment funds and other collective investment institutions (in third country)
63004,,,"Holding companies, trusts and Special Purpose Vehicles (in third country)"
63005,,,Insurance Corporations (in third country)
63006,,,Pension Funds (in third country)
63007,,,Other financial corporations (in third country)
63008,,,Exporters (in third country)
63009,,,Other non-financial corporations (in third country)
63010,,,Retail investors (in third country)
90000,,,Other
