channel_code,en_acronym,fr_acronym,channel_name
10000,,,Public Sector Institutions
11000,,,Provider Government
11001,,,Central Government (donor govt.)
11002,,,Local Government (donor govt.)
11003,,,Public corporations (donor govt.)
11004,,,Other public entities in provider country
12000,,,Recipient Government
12001,,,Central Government (recipient govt.)
12002,,,Local Government (recipient govt.)
12003,,,Public corporations (recipient govt.)
12004,,,Other public entities in recipient country
13000,,,Third Country Government (Delegated co-operation)
20000,,,Non-Governmental Organisation (NGO) and Civil Society
21000,,,International NGO
21001,AGID,AGID,Association of Geoscientists for International Development
21002,AITIC,AITIC,Agency for International Trade Information and Co-operation
21003,CLASCO,CLASCO,Latin American Council for Social Sciences
21004,CODESRIA,CODESRIA,Council for the Development of Economic and Social Research in Africa
21005,CUTS,CUTS,Consumer Unity and Trust Society International
21006,,,Development Gateway Foundation
21007,ELCI,ELCI,Environmental Liaison Centre International
21008,Eurostep,Eurostep,Eurostep
21009,FARA,FARA,Forum for Agricultural Research in Africa
21010,FAWE,FAWE,Forum for African Women Educationalists
21011,GCE,GCE,Global Campaign for Education
21013,HAI,HAI,Health Action International
21014,HURIDOCS,HURIDOCS,Human Rights Information and Documentation Systems
21015,ICRA,ICRA,International Catholic Rural Association
21016,ICRC,ICRC,International Committee of the Red Cross
21018,IFRCRCS,IFRCRCS,International Federation of Red Cross and Red Crescent Societies
21019,IFS,IFS,International Federation of Settlements and Neighbourhood Centres
21020,,,International HIV/AIDS Alliance
21021,IIED,IIED,International Institute for Environment and Development
21022,INAFI,INAFI,International Network for Alternative Financial Institutions
21023,IPPF,IPPF,International Planned Parenthood Federation
21024,IPS,IPS,"Inter Press Service, International Association"
21025,ISC,ISC,International Seismological Centre
21026,ISHR,ISHR,International Service for Human Rights
21027,ITF,ITF,ITF Enhancing Human Security
21028,IUEF,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America
21029,MSF,MSF,Doctors Without Borders
21030,PAID,PAID,Pan African Institute for Development
21031,PANOS,PANOS,PANOS Institute
21032,PSI,PSI,Population Services International
21033,TI,TI,Transparency International
21034,UNION,UNION,International Union Against Tuberculosis and Lung Disease
21035,OMCT,OMCT,World Organisation Against Torture
21036,WUS,WUS,World University Service
21037,WWB,WWB,Women's World Banking
21038,,,International Alert
21039,IISD,IISD,International Institute for Sustainable Development
21040,IWTC,IWTC,International Women's Tribune Centre
21041,SID,SID,Society for International Development
21042,Interpeace,Interpeace,International Peacebuilding Alliance
21043,AWEPA,AWEPA,European Parliamentarians for Africa
21044,ICCIDD,ICCIDD,International Council for the Control of Iodine Deficiency Disorders
21045,AMREF,AMREF,African Medical and Research Foundation
21046,ACORD,ACORD,Agency for Cooperation and Research in Development
21047,,,AgriCord
21048,AAU,AAU,Association of African Universities
21049,ECDPM,ECDPM,European Centre for Development Policy Management
21050,,,Geneva Call
21051,ISPEC,ISPEC,Institut Supérieur Panafricaine d’Economie Coopérative
21053,,,"IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights"
21054,LPI,LPI,Life and Peace Institute
21055,RATN,RATN,Regional AIDS Training Network
21056,REEEP,REEEP,Renewable Energy and Energy Efficiency Partnership
21057,ICTJ,ICTJ,International Centre for Transitional Justice
21058,ICG,ICG,International Crisis Group
21059,ASF,ASF,Africa Solidarity Fund
21060,APT,APT,Association for the Prevention of Torture
21061,IRCT,IRCT,International Rehabilitation Council for Torture Victims
21062,TNC,TNC,The Nature Conservancy
21063,CI,CI,Conservation International
21064,CHAI,CHAI,"Clinton Health Access Initiative, Inc."
21501,OXFAM-I,OXFAM-I,OXFAM International
21502,,,World Vision
21503,FHI360,FHI360,Family Health International 360
21504,IRD,IRD,International Relief and Development
21505,,,Save the Children
21506,IRC,IRC,International Rescue Committee
21507,PACT,PACT,Pact World
21508,SEforALL,SEforALL,Sustainable Energy for All
21509,AC,AC,AmplifyChange
22000,,,Donor country-based NGO
22501,OXFAM,OXFAM,OXFAM - provider country office
22502,,,Save the Children - donor country office
23000,,,Developing country-based NGO
23501,,,National Red Cross and Red Crescent Societies
30000,,,Public-Private Partnerships (PPP) and Networks
30001,GAIN,GAIN,Global Alliance for Improved Nutrition
30003,GeSCI,GeSCI,Global e-Schools and Communities Initiative
30004,GWP,GWP,Global Water Partnership
30005,IAVI,IAVI,International AIDS Vaccine Initiative
30006,IPM,IPM,International Partnership on Microbicides
30007,GAID,GAID,Global Alliance for ICT and Development
30008,,,Cities Alliance
30009,SAS,SAS,Small Arms Survey
30010,UNITAID,UNITAID,International drug purchase facility
30011,IUCN,IUCN,International Union for the Conservation of Nature
30012,GCPF,GCPF,Global Climate Partnership Fund
30013,MEF,MEF,Microfinance Enhancement Facility
30014,REGMIFA,REGMIFA,"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa"
30015,GEEREF,GEEREF,Global Energy Efficiency and Renewable Energy Fund
30016,EFSE,EFSE,European Fund for Southeast Europe
30017,SANAD,SANAD,"SANAD Fund for Micro, Small and Medium Enterprises"
30018,AFC,AFC,Africa Finance Corporation
30019,TCX,TCX,Currency Exchange Fund N.V.
30020,GEEREF II,GEEREF II,Global Energy Efficiency and Renewable Energy Fund II
31000,,,Public-Private Partnerships (PPP)
31001,GDN,GDN,Global Development Network
31002,GKP,GKP,Global Knowledge Partnership
31003,ILC,ILC,International Land Coalition
31004,EITI,EITI,Extractive Industries Transparency Initiative International Secretariat
31005,PNoWB,PNoWB,Parliamentary Network on the World Bank
31006,CEPI,CEPI,Coalition for Epidemic Preparedness Innovations
31007,DNDi,DNDi,Drugs for Neglected Diseases initative
31008,FIND,FIND,Foundation for Innovative New Diagnostics
32000,,,Networks
40000,,,Multilateral Organisations
41000,,,"United Nations (UN) agency, fund or commission"
41100,,,UN entities (core contributions reportable in full)
41101,UNCCD,UNCCD,Convention to Combat Desertification
41102,DLCO-EA,DLCO-EA,Desert Locust Control Organisation for Eastern Africa
41103,ECA,ECA,Economic Commission for Africa
41104,ECLAC,ECLAC,Economic Commission for Latin America and the Caribbean
41105,ESCWA,ESCWA,Economic and Social Commission for Western Asia
41106,ESCAP,ESCAP,Economic and Social Commission for Asia and the Pacific
41107,IAEA-TCF,IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)
41108,IFAD,IFAD,International Fund for Agricultural Development
41110,UNAIDS,UNAIDS,Joint United Nations Programme on HIV/AIDS
41111,UNCDF,UNCDF,United Nations Capital Development Fund
41112,UNCTAD,UNCTAD,United Nations Conference on Trade and Development
41114,UNDP,UNDP,United Nations Development Programme
41116,UNEP,UNEP,United Nations Environment Programme
41119,UNFPA,UNFPA,United Nations Population Fund
41120,UN Habitat,UN Habitat,United Nations Human Settlement Programme
41121,UNHCR,UNHCR,United Nations Office of the High Commissioner for Refugees
41122,UNICEF,UNICEF,United Nations Children’s Fund
41123,UNIDO,UNIDO,United Nations Industrial Development Organisation
41125,UNITAR,UNITAR,United Nations Institute for Training and Research
41126,UNMAS,UNMAS,United Nations Mine Action Service
41127,UNOCHA,UNOCHA,United Nations Office of Co-ordination of Humanitarian Affairs
41128,UNODC,UNODC,United Nations Office on Drugs and Crime
41129,UNRISD,UNRISD,United Nations Research Institute for Social Development
41130,UNRWA,UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East
41131,UNSSC,UNSSC,United Nations System Staff College
41132,UNSCN,UNSCN,United Nations System Standing Committee on Nutrition
41133,UNSIA,UNSIA,United Nations Special Initiative on Africa
41134,UNU,UNU,United Nations University (including Endowment Fund)
41135,UNV,UNV,United Nations Volunteers
41136,UNVFD,UNVFD,United Nations Voluntary Fund on Disability
41137,UNVFTC,UNVFTC,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights
41138,UNVFVT,UNVFVT,United Nations Voluntary Fund for Victims of Torture
41140,WFP,WFP,World Food Programme
41141,PBF,PBF,United Nations Peacebuilding Fund
41142,UNDEF,UNDEF,United Nations Democracy Fund
41143,WHO-CVCA,WHO-CVCA,World Health Organisation - core voluntary contributions account
41144,ILO-RBSA,ILO-RBSA,International Labour Organisation - Regular Budget Supplementary Account
41145,IMO-TCF,IMO-TCF,International Maritime Organization - Technical Co-operation Fund
41146,UNWOMEN,UNWOMEN,United Nations Entity for Gender Equality and the Empowerment of Women
41147,CERF,CERF,Central Emergency Response Fund
41148,UNDPPA-SZA,UNDPPA-SZA,"United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs"
41149,UNDCO,UNDCO,United Nations Development Coordination Office
41150,UNIDIR,UNIDIR,United Nations Institute for Disarmament Research
41151,IARC,IARC,International Agency for Research on Cancer
